stock_name	*germplasm_type	alias	*genus	*species	maternal_parent	paternal_parent	mutation_parent	selfing_parent	pedigree	description	origin	comments	stock_name_norm	alias_norm	source_book
CIMBL114	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL114			AMP	CIMBL114		metabolite_183_known
CIMBL115	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL115			AMP	CIMBL115		metabolite_183_known
CIMBL116	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL116			AMP	CIMBL116		metabolite_183_known
CIMBL117	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL117			AMP	CIMBL117		metabolite_183_known
CIMBL118	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL118			AMP	CIMBL118		metabolite_183_known
CIMBL119	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL119			AMP	CIMBL119		metabolite_183_known
CIMBL12	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL12			AMP	CIMBL12		metabolite_183_known
CIMBL120	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL120			AMP	CIMBL120		metabolite_183_known
CIMBL121	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL121			AMP	CIMBL121		metabolite_183_known
CIMBL122	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL122			AMP	CIMBL122		metabolite_183_known
CIMBL123	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL123			AMP	CIMBL123		metabolite_183_known
CIMBL124	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL124			AMP	CIMBL124		metabolite_183_known
CIMBL125	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL125			AMP	CIMBL125		metabolite_183_known
CIMBL126	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL126			AMP	CIMBL126		metabolite_183_known
CIMBL127	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL127			AMP	CIMBL127		metabolite_183_known
CIMBL128	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL128			AMP	CIMBL128		metabolite_183_known
CIMBL129	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL129			AMP	CIMBL129		metabolite_183_known
CIMBL13	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL13			AMP	CIMBL13		metabolite_183_known
CIMBL133	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL133			AMP	CIMBL133		metabolite_183_known
CIMBL134	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL134			AMP	CIMBL134		metabolite_183_known
CIMBL136	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL136			AMP	CIMBL136		metabolite_183_known
CIMBL137	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL137			AMP	CIMBL137		metabolite_183_known
CIMBL138	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL138			AMP	CIMBL138		metabolite_183_known
CIMBL139	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL139			AMP	CIMBL139		metabolite_183_known
CIMBL14	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL14			AMP	CIMBL14		metabolite_183_known
CIMBL140	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL140			AMP	CIMBL140		metabolite_183_known
CIMBL141	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL141			AMP	CIMBL141		metabolite_183_known
CIMBL142	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL142			AMP	CIMBL142		metabolite_183_known
CIMBL143	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL143			AMP	CIMBL143		metabolite_183_known
CIMBL144	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL144			AMP	CIMBL144		metabolite_183_known
CIMBL145	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL145			AMP	CIMBL145		metabolite_183_known
CIMBL146	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL146			AMP	CIMBL146		metabolite_183_known
CIMBL147	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL147			AMP	CIMBL147		metabolite_183_known
CIMBL148	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL148			AMP	CIMBL148		metabolite_183_known
CIMBL149	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL149			AMP	CIMBL149		metabolite_183_known
CIMBL15	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL15			AMP	CIMBL15		metabolite_183_known
CIMBL150	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL150			AMP	CIMBL150		metabolite_183_known
CIMBL151	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL151			AMP	CIMBL151		metabolite_183_known
CIMBL152	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL152			AMP	CIMBL152		metabolite_183_known
CIMBL153	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL153			AMP	CIMBL153		metabolite_183_known
CIMBL154	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL154			AMP	CIMBL154		metabolite_183_known
CIMBL155	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL155			AMP	CIMBL155		metabolite_183_known
CIMBL156	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL156			AMP	CIMBL156		metabolite_183_known
CIMBL157	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL157			AMP	CIMBL157		metabolite_183_known
CIMBL16	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL16			AMP	CIMBL16		metabolite_183_known
CIMBL17	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL17			AMP	CIMBL17		metabolite_183_known
CIMBL18	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL18			AMP	CIMBL18		metabolite_183_known
CIMBL19	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL19			AMP	CIMBL19		metabolite_183_known
CIMBL2	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL2			AMP	CIMBL2		metabolite_183_known
CIMBL20	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL20			AMP	CIMBL20		metabolite_183_known
CIMBL21	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL21			AMP	CIMBL21		metabolite_183_known
CIMBL22	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL22			AMP	CIMBL22		metabolite_183_known
CIMBL23	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL23			AMP	CIMBL23		metabolite_183_known
CIMBL24	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL24			AMP	CIMBL24		metabolite_183_known
CIMBL25	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL25			AMP	CIMBL25		metabolite_183_known
CIMBL26	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL26			AMP	CIMBL26		metabolite_183_known
CIMBL27	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL27			AMP	CIMBL27		metabolite_183_known
CIMBL28	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL28			AMP	CIMBL28		metabolite_183_known
CIMBL29	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL29			AMP	CIMBL29		metabolite_183_known
CIMBL3	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL3			AMP	CIMBL3		metabolite_183_known
CIMBL30	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL30			AMP	CIMBL30		metabolite_183_known
CIMBL31	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL31			AMP	CIMBL31		metabolite_183_known
CIMBL32	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL32			AMP	CIMBL32		metabolite_183_known
CIMBL33	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL33			AMP	CIMBL33		metabolite_183_known
CIMBL34	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL34			AMP	CIMBL34		metabolite_183_known
CIMBL38	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL38			AMP	CIMBL38		metabolite_183_known
CIMBL39	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL39			AMP	CIMBL39		metabolite_183_known
CIMBL4	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL4			AMP	CIMBL4		metabolite_183_known
CIMBL40	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL40			AMP	CIMBL40		metabolite_183_known
CIMBL42	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL42			AMP	CIMBL42		metabolite_183_known
CIMBL43	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL43			AMP	CIMBL43		metabolite_183_known
CIMBL44	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL44			AMP	CIMBL44		metabolite_183_known
CIMBL45	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL45			AMP	CIMBL45		metabolite_183_known
CIMBL46	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL46			AMP	CIMBL46		metabolite_183_known
CIMBL47	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL47			AMP	CIMBL47		metabolite_183_known
CIMBL48	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL48			AMP	CIMBL48		metabolite_183_known
CIMBL49	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL49			AMP	CIMBL49		metabolite_183_known
CIMBL5	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL5			AMP	CIMBL5		metabolite_183_known
CIMBL50	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL50			AMP	CIMBL50		metabolite_183_known
CIMBL51	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL51			AMP	CIMBL51		metabolite_183_known
