trait_descriptor_set	*descriptor_name	Alias	*format	trait_name	data_unit	definition	source_book
SITE_CV	Feruloylserotonin_E2		numeric				metabolite_183_known
SITE_CV	Dicoumaroylputrescine_E2		numeric				metabolite_183_known
SITE_CV	Glycerol_1_tetradecanoate_3_phosphocholine_E2		numeric				metabolite_183_known
SITE_CV	N_caffeoyl_O_hexoside_spermidine_E2		numeric				metabolite_183_known
SITE_CV	Diferuloylputrescine_E2		numeric				metabolite_183_known
SITE_CV	Methylchrysoeriol_C_hexoside_E2		numeric				metabolite_183_known
SITE_CV	N_feruloyl_O_hexoside_spermidine_E2		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_16:1_2_E2		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_16:0_2_E2		numeric				metabolite_183_known
SITE_CV	N1._N10_Diferuloylspermidine_E2		numeric				metabolite_183_known
SITE_CV	Np.Npp_Feruloyl.caffeoyl_spermidine_derivative_E2		numeric				metabolite_183_known
SITE_CV	2pp.6pp_O_Diacetyloninin_E2		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_18:2_1_E2		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_18:1_E2		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_18:0_E2		numeric				metabolite_183_known
SITE_CV	Tricin_4p_O_threo_beta_guaiacylglyceryl_ether_E2		numeric				metabolite_183_known
SITE_CV	Tricin_4p_O_threo_beta_guaiacylglyceryl_ether_E2		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_20:4_E2		numeric				metabolite_183_known
SITE_CV	Lehmbachol_A_E2		numeric				metabolite_183_known
SITE_CV	Apigenin_C_hexosyl_C_pentoside_E2		numeric				metabolite_183_known
SITE_CV	Viscumamide_E2		numeric				metabolite_183_known
SITE_CV	Triornicin_E2		numeric				metabolite_183_known
SITE_CV	L_Histidine_E2		numeric				metabolite_183_known
SITE_CV	L_Carnitine_E2		numeric				metabolite_183_known
SITE_CV	Pyridoxate_2_E2		numeric				metabolite_183_known
SITE_CV	Diaminopimelic_acid_E2		numeric				metabolite_183_known
SITE_CV	Scopoletin_E2		numeric				metabolite_183_known
SITE_CV	7_Oxo_11_dodecenoic_acid_E2		numeric				metabolite_183_known
SITE_CV	Nalidixic_acid_E2		numeric				metabolite_183_known
SITE_CV	2_Amino_1.3.4_hexadecanetriol_E2		numeric				metabolite_183_known
SITE_CV	9_Oxo_12_octadecenoic_acid_E2		numeric				metabolite_183_known
SITE_CV	Hydroxylinoleic_acid_E2		numeric				metabolite_183_known
SITE_CV	N_acetylneuraminic_acid_E2		numeric				metabolite_183_known
SITE_CV	Gibberellin_A4_E2		numeric				metabolite_183_known
SITE_CV	Acetylintermedine_E2		numeric				metabolite_183_known
SITE_CV	Serotonin_E2		numeric				metabolite_183_known
SITE_CV	Caffeic_acid_derivative_E2		numeric				metabolite_183_known
SITE_CV	L_Tryptophan_E2		numeric				metabolite_183_known
SITE_CV	Elaeokanine_C_E2		numeric				metabolite_183_known
SITE_CV	Ethyl_syringate_E2		numeric				metabolite_183_known
SITE_CV	Halaminol_A_E2		numeric				metabolite_183_known
SITE_CV	N_Coumaroylputrescine_E2		numeric				metabolite_183_known
SITE_CV	Apodophyllone_E2		numeric				metabolite_183_known
SITE_CV	Austricine_E2		numeric				metabolite_183_known
SITE_CV	Thiamin_E2		numeric				metabolite_183_known
SITE_CV	Apigenin_E2		numeric				metabolite_183_known
SITE_CV	N_Coumaroylagmatine_E2		numeric				metabolite_183_known
SITE_CV	Crotonoside_E2		numeric				metabolite_183_known
SITE_CV	Sphinganine_E2		numeric				metabolite_183_known
SITE_CV	N2.N2_Dimethylguanosine_E2		numeric				metabolite_183_known
SITE_CV	Caffeoyltryptamine_E2		numeric				metabolite_183_known
SITE_CV	2_Amino_9_methyl_4_octadecene_1.3.8_triol_E2		numeric				metabolite_183_known
SITE_CV	Tricin_E2		numeric				metabolite_183_known
SITE_CV	Fructose_1.6_diphosphate_E2		numeric				metabolite_183_known
SITE_CV	N_Coumaroyl_spermidine_derivative_E2		numeric				metabolite_183_known
SITE_CV	Zeanoside_B_E2		numeric				metabolite_183_known
SITE_CV	trans_Zeatin_O_glucoside_E2		numeric				metabolite_183_known
SITE_CV	Succinyladenosine_E2		numeric				metabolite_183_known
SITE_CV	Acetosyringone_E2		numeric				metabolite_183_known
SITE_CV	Apigenin_C_pentoside_E2		numeric				metabolite_183_known
SITE_CV	Lincomycin_E2		numeric				metabolite_183_known
SITE_CV	Apigenin_7_O_glucoside_E2		numeric				metabolite_183_known
SITE_CV	Vitexin_E2		numeric				metabolite_183_known
SITE_CV	Apigenin_8_C_glucoside_E2		numeric				metabolite_183_known
SITE_CV	Cyanidin_3_O_glucoside_E2		numeric				metabolite_183_known
SITE_CV	Chrysoeriol_O_hexoside_E2		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_15:0_1_E2		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_15:0_2_E2		numeric				metabolite_183_known
SITE_CV	Tricin_4p_O_erythro_beta_guaiacylglyceryl_ether_E2		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_18:3_1_E2		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_18:3_2_E2		numeric				metabolite_183_known
