stock_name	*germplasm_type	alias	*genus	*species	maternal_parent	paternal_parent	mutation_parent	selfing_parent	pedigree	description	origin	comments	stock_name_norm	alias_norm	source_book
CIMBL56	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL56			AMP	CIMBL56		agri_aa_oil
CIMBL57	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL57			AMP	CIMBL57		agri_aa_oil
CIMBL58	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL58			AMP	CIMBL58		agri_aa_oil
CIMBL59	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL59			AMP	CIMBL59		agri_aa_oil
CIMBL6	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL6			AMP	CIMBL6		agri_aa_oil
CIMBL60	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL60			AMP	CIMBL60		agri_aa_oil
CIMBL61	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL61			AMP	CIMBL61		agri_aa_oil
CIMBL62	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL62			AMP	CIMBL62		agri_aa_oil
CIMBL63	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL63			AMP	CIMBL63		agri_aa_oil
CIMBL65	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL65			AMP	CIMBL65		agri_aa_oil
CIMBL66	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL66			AMP	CIMBL66		agri_aa_oil
CIMBL67	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL67			AMP	CIMBL67		agri_aa_oil
CIMBL68	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL68			AMP	CIMBL68		agri_aa_oil
CIMBL69	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL69			AMP	CIMBL69		agri_aa_oil
CIMBL7	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL7			AMP	CIMBL7		agri_aa_oil
CIMBL70	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL70			AMP	CIMBL70		agri_aa_oil
CIMBL71	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL71			AMP	CIMBL71		agri_aa_oil
CIMBL72	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL72			AMP	CIMBL72		agri_aa_oil
CIMBL73	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL73			AMP	CIMBL73		agri_aa_oil
CIMBL74	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL74			AMP	CIMBL74		agri_aa_oil
CIMBL75	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL75			AMP	CIMBL75		agri_aa_oil
CIMBL76	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL76			AMP	CIMBL76		agri_aa_oil
CIMBL77	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL77			AMP	CIMBL77		agri_aa_oil
CIMBL78	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL78			AMP	CIMBL78		agri_aa_oil
CIMBL79	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL79			AMP	CIMBL79		agri_aa_oil
CIMBL8	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL8			AMP	CIMBL8		agri_aa_oil
CIMBL80	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL80			AMP	CIMBL80		agri_aa_oil
CIMBL81	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL81			AMP	CIMBL81		agri_aa_oil
CIMBL82	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL82			AMP	CIMBL82		agri_aa_oil
CIMBL83	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL83			AMP	CIMBL83		agri_aa_oil
CIMBL84	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL84			AMP	CIMBL84		agri_aa_oil
CIMBL85	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL85			AMP	CIMBL85		agri_aa_oil
CIMBL86	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL86			AMP	CIMBL86		agri_aa_oil
CIMBL87	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL87			AMP	CIMBL87		agri_aa_oil
CIMBL88	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL88			AMP	CIMBL88		agri_aa_oil
CIMBL89	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL89			AMP	CIMBL89		agri_aa_oil
CIMBL9	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL9			AMP	CIMBL9		agri_aa_oil
CIMBL90	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL90			AMP	CIMBL90		agri_aa_oil
CIMBL91	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL91			AMP	CIMBL91		agri_aa_oil
CIMBL92	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL92			AMP	CIMBL92		agri_aa_oil
CIMBL93	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL93			AMP	CIMBL93		agri_aa_oil
CIMBL94	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL94			AMP	CIMBL94		agri_aa_oil
CIMBL95	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL95			AMP	CIMBL95		agri_aa_oil
CIMBL96	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL96			AMP	CIMBL96		agri_aa_oil
CIMBL97	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL97			AMP	CIMBL97		agri_aa_oil
CIMBL98	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL98			AMP	CIMBL98		agri_aa_oil
CIMBL99	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL99			AMP	CIMBL99		agri_aa_oil
CML113	cultivar		Zea	mays cultivar:B73					test-pedigree-CML113			AMP	CML113		agri_aa_oil
CML114	cultivar		Zea	mays cultivar:B73					test-pedigree-CML114			AMP	CML114		agri_aa_oil
CML115	cultivar		Zea	mays cultivar:B73					test-pedigree-CML115			AMP	CML115		agri_aa_oil
CML116	cultivar		Zea	mays cultivar:B73					test-pedigree-CML116			AMP	CML116		agri_aa_oil
CML118	cultivar		Zea	mays cultivar:B73					test-pedigree-CML118			AMP	CML118		agri_aa_oil
CML121	cultivar		Zea	mays cultivar:B73					test-pedigree-CML121			AMP	CML121		agri_aa_oil
CML122	cultivar		Zea	mays cultivar:B73					test-pedigree-CML122			AMP	CML122		agri_aa_oil
CML130	cultivar		Zea	mays cultivar:B73					test-pedigree-CML130			AMP	CML130		agri_aa_oil
CML134	cultivar		Zea	mays cultivar:B73					test-pedigree-CML134			AMP	CML134		agri_aa_oil
CML139	cultivar		Zea	mays cultivar:B73					test-pedigree-CML139			AMP	CML139		agri_aa_oil
CML162	cultivar		Zea	mays cultivar:B73					test-pedigree-CML162			AMP	CML162		agri_aa_oil
CML163	cultivar		Zea	mays cultivar:B73					test-pedigree-CML163			AMP	CML163		agri_aa_oil
CML165	cultivar		Zea	mays cultivar:B73					test-pedigree-CML165			AMP	CML165		agri_aa_oil
CML166	cultivar		Zea	mays cultivar:B73					test-pedigree-CML166			AMP	CML166		agri_aa_oil
CML168	cultivar		Zea	mays cultivar:B73					test-pedigree-CML168			AMP	CML168		agri_aa_oil
CML169	cultivar		Zea	mays cultivar:B73					test-pedigree-CML169			AMP	CML169		agri_aa_oil
CML170	cultivar		Zea	mays cultivar:B73					test-pedigree-CML170			AMP	CML170		agri_aa_oil
CML171	cultivar		Zea	mays cultivar:B73					test-pedigree-CML171			AMP	CML171		agri_aa_oil
CML172	cultivar		Zea	mays cultivar:B73					test-pedigree-CML172			AMP	CML172		agri_aa_oil
CML189	cultivar		Zea	mays cultivar:B73					test-pedigree-CML189			AMP	CML189		agri_aa_oil
CML191	cultivar		Zea	mays cultivar:B73					test-pedigree-CML191			AMP	CML191		agri_aa_oil
CML192	cultivar		Zea	mays cultivar:B73					test-pedigree-CML192			AMP	CML192		agri_aa_oil
CML20	cultivar		Zea	mays cultivar:B73					test-pedigree-CML20			AMP	CML20		agri_aa_oil
CML223	cultivar		Zea	mays cultivar:B73					test-pedigree-CML223			AMP	CML223		agri_aa_oil
CML225	cultivar		Zea	mays cultivar:B73					test-pedigree-CML225			AMP	CML225		agri_aa_oil
CML226	cultivar		Zea	mays cultivar:B73					test-pedigree-CML226			AMP	CML226		agri_aa_oil
CML228	cultivar		Zea	mays cultivar:B73					test-pedigree-CML228			AMP	CML228		agri_aa_oil
CML27	cultivar		Zea	mays cultivar:B73					test-pedigree-CML27			AMP	CML27		agri_aa_oil
CML28	cultivar		Zea	mays cultivar:B73					test-pedigree-CML28			AMP	CML28		agri_aa_oil
CML286	cultivar		Zea	mays cultivar:B73					test-pedigree-CML286			AMP	CML286		agri_aa_oil
