seed	trait	model	split	train_non_missing	test_non_missing	n_eval	r2	pearson	spearman	mae	rmse
20260606	agri_aa_oil__Oil_C18_0	genotype_population_sparse_methylation_elasticnet	test	156	35	35	-0.07078063310002869	0.13725446047183157	0.21848739495798322	0.035900180540815334	0.0686135813648529
20260606	agri_aa_oil__100grainweight	genotype_population_ridge	test	163	36	36	0.14613622014117666	0.43160674092472284	0.3849668583813063	1.9510837011678062	2.3900908039664306
20260606	agri_aa_oil__100grainweight	genotype_population_gene_methylation_pca_ridge	test	163	36	36	0.20468933637442277	0.48617653919219134	0.45858806967990445	1.8426397859003236	2.3066861495227893
20260606	agri_aa_oil__100grainweight	genotype_population_sparse_methylation_elasticnet	test	163	36	36	-0.10442454407193558	0.10557890136132744	0.10631314778433934	2.144022405778898	2.718242071198612
20260606	metabolite__Pro_Leu_E1	genotype_population_ridge	test	113	26	26	0.10241331419102762	0.35164377465624164	0.26329287442426264	297370.7321437469	384888.99048174697
20260606	metabolite__Pro_Leu_E1	genotype_population_gene_methylation_pca_ridge	test	113	26	26	0.17584313331441392	0.4560624645395124	0.34091298155972705	290440.33334568044	368809.60951512173
20260606	metabolite__Pro_Leu_E1	genotype_population_sparse_methylation_elasticnet	test	113	26	26	-0.23896840992570922	0.05139599384769811	-0.0013677551918143513	359463.4610576124	452196.71618754213
20260606	agri_aa_oil__Plantheight	genotype_population_ridge	test	164	36	36	0.15058707316109832	0.5231579215161677	0.4918918918918919	16.8199731654783	20.852387326280446
20260606	agri_aa_oil__Plantheight	genotype_population_gene_methylation_pca_ridge	test	164	36	36	0.2400175317260036	0.5730123584010222	0.5516087516087517	15.407488384356137	19.724142754755462
20260606	agri_aa_oil__Plantheight	genotype_population_sparse_methylation_elasticnet	test	164	36	36	0.13050283160238219	0.4270905781719795	0.4314028314028315	16.91267453896083	21.097472827001408
20260606	agri_aa_oil__Oil_C200_C220	genotype_population_ridge	test	156	35	35	0.13931012620109473	0.42100282626881713	0.5294117647058824	0.34391321740624914	0.5355166764300677
20260606	agri_aa_oil__Oil_C200_C220	genotype_population_gene_methylation_pca_ridge	test	156	35	35	0.16140162383471757	0.44942308696599875	0.592156862745098	0.34578471107154946	0.5285993947301045
20260606	agri_aa_oil__Oil_C200_C220	genotype_population_sparse_methylation_elasticnet	test	156	35	35	-0.037919850733744154	0.20925806114027837	0.29299719887955183	0.39765481966854344	0.5880734357117501
20260606	agri_aa_oil__Oil_C16_1	genotype_population_ridge	test	156	35	35	-0.08338935067071196	0.4178547692966479	0.3820728291316527	0.0015330383011039502	0.0019121216255051227
20260606	agri_aa_oil__Oil_C16_1	genotype_population_gene_methylation_pca_ridge	test	156	35	35	-0.06534987900993561	0.3319351189433857	0.23193277310924368	0.0015191082117680694	0.0018961354705612265
20260606	agri_aa_oil__Oil_C16_1	genotype_population_sparse_methylation_elasticnet	test	156	35	35	-0.38916612463807243	0.1774969348639751	0.12801120448179273	0.0016691640762700596	0.0021652114959503635
20260606	agri_aa_oil__Oil_C180_C200	genotype_population_ridge	test	156	35	35	0.04395134083366081	0.2324353896316761	0.43249299719887957	0.6917956815858884	1.147338078159135
20260606	agri_aa_oil__Oil_C180_C200	genotype_population_gene_methylation_pca_ridge	test	156	35	35	0.06672579816324031	0.274727736084176	0.3795518207282913	0.6798454473930414	1.1335900869009434
20260606	agri_aa_oil__Oil_C180_C200	genotype_population_sparse_methylation_elasticnet	test	156	35	35	0.10871547075174282	0.33541485574389374	0.42072829131652667	0.6899445621549398	1.1077954907362821
20260607	agri_aa_oil__Kernernumberperrow	genotype_population_ridge	test	164	36	36	0.04290174017609272	0.2224591744032918	0.20411840411840412	1.8730259213276454	2.310562370260262
