accession_id_norm	in_vcf	in_accession_index	has_population	has_metabolite	has_agri_aa_oil	strong_pair_population_phenotype	strong_pair_genotype_population_phenotype
GEMS2	True	True	True	True	True	True	True
GEMS20	True	True	True	True	True	True	True
GEMS21	True	True	True	True	True	True	True
GEMS23	True	True	True	True	True	True	True
GEMS24	True	True	True	False	True	True	True
GEMS25	True	True	True	True	True	True	True
GEMS27	True	True	True	False	True	True	True
GEMS28	True	True	True	True	True	True	True
GEMS29	True	True	True	False	True	True	True
GEMS3	True	True	True	True	True	True	True
GEMS30	True	True	True	True	True	True	True
GEMS31	True	True	True	True	True	True	True
GEMS32	True	True	True	True	True	True	True
GEMS33	True	True	True	True	True	True	True
GEMS35	True	True	True	True	True	True	True
GEMS36	True	True	True	False	True	True	True
GEMS37	True	True	True	False	True	True	True
GEMS39	True	True	True	False	True	True	True
GEMS4	True	True	True	True	True	True	True
GEMS40	True	True	True	True	True	True	True
GEMS41	True	True	True	True	True	True	True
GEMS42	True	True	True	False	True	True	True
GEMS43	True	True	True	False	True	True	True
GEMS44	True	True	True	True	True	True	True
GEMS45	True	True	True	False	True	True	True
GEMS46	True	True	True	True	True	True	True
GEMS47	True	True	True	False	True	True	True
GEMS48	True	True	True	True	True	True	True
GEMS49	True	True	True	False	True	True	True
GEMS5	True	True	True	False	True	True	True
GEMS50	True	True	True	True	True	True	True
GEMS51	True	True	True	False	True	True	True
GEMS52	True	True	True	False	True	True	True
GEMS53	True	True	True	False	True	True	True
GEMS54	True	True	True	True	True	True	True
GEMS55	True	True	True	True	True	True	True
GEMS56	True	True	True	False	True	True	True
GEMS57	True	True	True	False	True	True	True
GEMS58	True	True	True	False	True	True	True
GEMS59	True	True	True	False	True	True	True
GEMS6	True	True	True	True	True	True	True
GEMS60	True	True	True	False	True	True	True
GEMS61	True	True	True	True	True	True	True
GEMS62	True	True	True	True	True	True	True
GEMS63	True	True	True	True	True	True	True
GEMS64	True	True	True	False	True	True	True
GEMS65	True	True	True	True	True	True	True
GEMS66	True	True	True	True	True	True	True
GEMS9	True	True	True	True	True	True	True
GY1007	False	True	False	True	False	False	False
GY1032	True	True	True	True	True	True	True
GY220	True	True	True	False	True	True	True
GY237	True	True	True	False	True	True	True
GY246	False	True	False	False	False	False	False
GY386	True	True	True	True	True	True	True
GY386B	True	True	True	False	True	True	True
GY462	True	True	True	True	True	True	True
GY798	True	True	True	True	True	True	True
GY923	True	True	True	True	True	True	True
H21	True	True	True	False	False	False	False
HB	True	True	True	False	True	True	True
HSBN	True	True	True	False	True	True	True
HTH-17	True	True	True	False	True	True	True
HU803	False	True	False	False	True	False	False
HUA83-2	True	True	True	True	True	True	True
HUANGC	True	True	True	False	True	True	True
HYS	True	True	True	True	True	True	True
HZS	True	True	True	True	True	True	True
IRF291	True	True	True	False	True	True	True
IRF314	True	True	True	True	True	True	True
J4112	False	True	False	True	False	False	False
JH59	True	True	True	True	True	True	True
JH96C	True	True	True	True	True	True	True
JI53	True	True	True	False	True	True	True
JI63	True	True	True	True	True	True	True
JI842	True	True	True	True	True	True	True
JI846	True	True	True	True	True	True	True
JI853	True	True	True	True	True	True	True
JIAO51	True	True	True	True	True	True	True
JING24	True	True	True	False	False	False	False
JING724	True	True	True	False	False	False	False
JY01	True	True	True	True	True	True	True
K10	True	True	True	True	True	True	True
K12	True	True	True	False	True	True	True
K14	False	True	False	True	True	False	False
K22	True	True	True	True	True	True	True
L3180	True	True	True	True	True	True	True
LG001	True	True	True	True	True	True	True
LIAO138	True	True	True	False	True	True	True
LIAO159	True	True	True	True	True	True	True
LIAO5114	True	True	True	True	True	True	True
LIAO5262	True	True	True	True	True	True	True
LIAO5263	True	True	True	True	True	True	True
LK11	True	True	True	True	True	True	True
LV28	True	True	True	True	True	True	True
LX9801	False	True	False	True	False	False	False
LXN	True	True	True	True	True	True	True
LY	True	True	True	False	True	True	True
LY042	True	True	True	True	True	True	True
M153	True	True	True	True	True	True	True
M165	True	True	True	False	True	True	True
M97	True	True	True	True	True	True	True
MN	True	True	True	False	True	True	True
MO113	False	True	False	False	True	False	False
MO17	True	True	True	True	True	True	True
NAN21-3	True	True	True	True	True	True	True
NMJT	True	True	True	False	True	True	True
P138	True	True	True	False	True	True	True
P178	True	True	True	True	True	True	True
P6WC	True	True	True	False	False	False	False
PH4VC	True	True	True	False	False	False	False
Q1261	False	True	False	True	False	False	False
Q1261X	True	True	True	False	False	False	False
QI205	True	True	True	True	True	True	True
QI319	True	True	True	False	True	True	True
QTHHSBTS	False	True	False	False	False	False	False
R08	True	True	True	False	True	True	True
R15	True	True	True	False	True	True	True
R15X1141	True	True	True	True	True	True	True
RY684	True	True	True	False	True	True	True
RY697	True	True	True	False	True	True	True
RY713	True	True	True	True	True	True	True
RY729	True	True	True	True	True	True	True
RY732	True	True	True	False	True	True	True
RY737	True	True	True	False	True	True	True
S22	True	True	True	True	False	True	True
S22X	True	True	True	False	False	False	False
S37	True	True	True	True	True	True	True
SC55	True	True	True	True	True	True	True
SHEN135	False	True	False	False	False	False	False
SHEN137	True	True	True	False	True	True	True
SHEN5003	True	True	True	True	True	True	True
SI273	True	True	True	True	True	True	True
SI434	True	True	True	False	True	True	True
SI444	False	True	False	False	True	False	False
SI446	True	True	True	True	True	True	True
SK	True	True	True	False	False	False	False
SW1611	True	True	True	False	False	False	False
SW92E114	True	True	True	True	True	True	True
SY1032	True	True	True	True	True	True	True
SY1035	True	True	True	True	True	True	True
SY1039	True	True	True	True	True	True	True
SY1052	True	True	True	True	True	True	True
SY1077	True	True	True	False	True	True	True
SY1128	False	True	False	True	True	False	False
SY3073	True	True	True	False	True	True	True
SY998	True	True	True	False	True	True	True
