trait	nearest_gene_id	gene_relation	lead_snps	min_p_value	min_q_value_bh	max_minus_log10_p	mean_abs_partial_correlation	min_distance_to_gene_bp
agri_aa_oil__Oil_C182_C183	Zm00001d025421	cis_window	1	7.089041594788543e-15	5.059955346314496e-11	14.149412475427606	0.3618962501457574	1773
agri_aa_oil__Oil_C182_C183	Zm00001d049511	gene_body	1	2.6139037008937156e-14	1.7413477934860475e-10	13.582710416350292	0.3546577782455798	0
agri_aa_oil__Oil_C182_C183	Zm00001d030130	promoter	1	4.3590148550997165e-14	2.8102428157445446e-10	13.360611650946336	0.3517697039340893	0
agri_aa_oil__Oil_C182_C183	Zm00001d031789	gene_body	1	5.5716315974216954e-14	3.4797625141697193e-10	13.254017607340732	0.3503730292325676	0
agri_aa_oil__Oil_C182_C183	Zm00001d036959	gene_body	1	5.879195304564459e-14	3.560583202391014e-10	13.230682112478757	0.3500663434877346	0
agri_aa_oil__Oil_C182_C183	Zm00001d018243	gene_body	1	6.186407100656903e-14	3.636442875026136e-10	13.208561504353616	0.3497753153073458	0
agri_aa_oil__Oil_C182_C183	Zm00001d028130	gene_body	1	6.483788184595488e-14	3.7023542040586167e-10	13.188171181325671	0.3495067844503112	0
agri_aa_oil__Oil_C182_C183	Zm00001d036563	gene_body	1	7.963073296196543e-14	4.080687119704245e-10	13.098919286786968	0.3483283499901821	0
agri_aa_oil__Oil_C182_C183	Zm00001d013958	gene_body	1	9.523941902812969e-14	4.75854233232147e-10	13.021183262507469	0.3472979184091356	0
agri_aa_oil__Oil_C182_C183	Zm00001d033278	gene_body	1	1.0890306768011491e-13	5.070098749467781e-10	12.962959886472126	0.346523648819255	0
agri_aa_oil__Oil_C182_C183	Zm00001d029044	nearest	1	1.0908566479220772e-13	5.070098749467781e-10	12.962232317337326	0.3465139598644839	46559
agri_aa_oil__Oil_C182_C183	Zm00001d048903	cis_window	1	1.6251169531782907e-13	7.060638560747834e-10	12.789115379120627	0.3441989896488789	143
agri_aa_oil__Oil_C182_C183	Zm00001d008789	gene_body	1	2.1037106876689417e-13	8.580391901933958e-10	12.677013986661027	0.3426896360494686	0
agri_aa_oil__Oil_C182_C183	Zm00001d047102	cis_window	1	2.623054841012984e-13	1.048466496610982e-09	12.58119262938664	0.3413929672660324	439
agri_aa_oil__Oil_C182_C183	Zm00001d032887	gene_body	1	3.043707145183056e-13	1.1927512455053034e-09	12.51659713618184	0.3405154286955055	0
agri_aa_oil__Oil_C182_C183	Zm00001d036802	gene_body	1	3.572241083347612e-13	1.3470449319877743e-09	12.447059239135552	0.339567638412502	0
agri_aa_oil__Oil_C182_C183	Zm00001d053954	gene_body	1	5.225671412087967e-13	1.8006582512659531e-09	12.28185790199551	0.33730289529875	0
agri_aa_oil__Oil_C182_C183	Zm00001d020417	promoter	1	5.484114128373822e-13	1.857683242780133e-09	12.260893515806808	0.3370141655511329	0
agri_aa_oil__Oil_C182_C183	Zm00001d008827	cis_window	1	7.071319836620901e-13	2.355409495446178e-09	12.150499519121702	0.3354887790936397	654
agri_aa_oil__Oil_C182_C183	Zm00001d036892	gene_body	1	9.551549956002028e-13	2.982710262510533e-09	12.019926148550285	0.3336736045739621	0
agri_aa_oil__Oil_C182_C183	Zm00001d036558	nearest	1	1.345485885055218e-12	4.082721630390423e-09	11.871120853882973	0.3315902721311473	52762
agri_aa_oil__Oil_C182_C183	Zm00001d011490	gene_body	1	1.842677291966367e-12	5.337248012510584e-09	11.734550716104756	0.3296642150544628	0
agri_aa_oil__Oil_C182_C183	Zm00001d024995	promoter	1	1.895516248002336e-12	5.411861360867927e-09	11.722272488532449	0.3294903888586793	0
agri_aa_oil__Oil_C182_C183	Zm00001d031518	gene_body	1	2.124114833595468e-12	5.815302660041861e-09	11.672822008189089	0.3287891841474632	0
agri_aa_oil__Oil_C182_C183	Zm00001d009653	nearest	1	2.6120265854608368e-12	6.895021674935715e-09	11.583022407082955	0.3275112107460721	88055
agri_aa_oil__Oil_C182_C183	Zm00001d013638	cis_window	1	2.761469973636264e-12	7.167484974688949e-09	11.558859674640187	0.3271663169088746	181
agri_aa_oil__Oil_C182_C183	Zm00001d042508	gene_body	1	2.893117853857245e-12	7.412909766672992e-09	11.538633874600423	0.3268772821164343	0
agri_aa_oil__Oil_C182_C183	Zm00001d034761	gene_body	1	3.214896218738442e-12	8.13311770496443e-09	11.492833042135311	0.3262216340752271	0
agri_aa_oil__Oil_C182_C183	Zm00001d044076	promoter	1	3.286104837788435e-12	8.209347105763069e-09	11.483318585226362	0.3260852344315291	0
agri_aa_oil__Oil_C182_C183	Zm00001d037015	gene_body	1	3.876989303873293e-12	9.449263101401233e-09	11.411505397155084	0.3250535051845259	0
agri_aa_oil__Oil_C182_C183	Zm00001d032903	gene_body	1	4.03253035061088e-12	9.709944406646844e-09	11.394422355233925	0.3248074980044686	0
agri_aa_oil__Oil_C182_C183	Zm00001d026307	cis_window	1	4.268847996125392e-12	1.0156605775162338e-08	11.369689309149967	0.3244509303281502	41
agri_aa_oil__Oil_C182_C183	Zm00001d005586	gene_body	1	5.1084990027343595e-12	1.160186564420998e-08	11.291706687064607	0.323323604504531	0
agri_aa_oil__Oil_C182_C183	Zm00001d053802	cis_window	1	5.5276062752735225e-12	1.2007883475555054e-08	11.257462898804215	0.3228270870252578	1172
agri_aa_oil__Oil_C182_C183	Zm00001d005036	gene_body	1	6.041448069776728e-12	1.2983006940142986e-08	11.21885895321024	0.3222662554969189	0
agri_aa_oil__Oil_C182_C183	Zm00001d018943	gene_body	1	6.857608935351228e-12	1.4580152035995265e-08	11.163827284759355	0.3214647491062457	0
agri_aa_oil__Oil_C182_C183	Zm00001d043428	gene_body	1	8.115053847054125e-12	1.657087989229768e-08	11.090708594087792	0.3203961229049818	0
agri_aa_oil__Oil_C182_C183	Zm00001d020714	gene_body	1	9.143957213661915e-12	1.827474712893616e-08	11.0388658147556	0.3196358702713463	0
agri_aa_oil__Oil_C182_C183	Zm00001d049190	gene_body	1	1.0589692962025584e-11	2.095459085760975e-08	10.975116631661267	0.3186980642513712	0
agri_aa_oil__Oil_C182_C183	Zm00001d009571	nearest	1	1.0975413770311708e-11	2.150492445568056e-08	10.959579097985538	0.3184689973881064	18380
agri_aa_oil__Oil_C182_C183	Zm00001d033138	gene_body	1	1.151284223290652e-11	2.233893783786181e-08	10.938817446684023	0.3181626074588837	0
agri_aa_oil__Oil_C182_C183	Zm00001d008893	gene_body	1	1.2072759726470693e-11	2.320012949897621e-08	10.9181934426632	0.3178579026542834	0
agri_aa_oil__Oil_C182_C183	Zm00001d034796	gene_body	1	1.3772698211128502e-11	2.62148226065076e-08	10.860980968718303	0.3170108153148961	0
agri_aa_oil__Oil_C182_C183	Zm00001d052584	gene_body	1	1.4579718212275207e-11	2.7232188439555832e-08	10.836250869710538	0.31664383232937	0
agri_aa_oil__Oil_C182_C183	Zm00001d007784	gene_body	1	1.609335858180322e-11	2.9507837364448293e-08	10.79335331194001	0.3160060588255484	0
agri_aa_oil__Oil_C182_C183	Zm00001d008332	gene_body	1	1.7802527925067454e-11	3.234492746356619e-08	10.749518324322764	0.3153527755363819	0
agri_aa_oil__Oil_C182_C183	Zm00001d008863	gene_body	1	1.896895198005748e-11	3.4153683485823136e-08	10.721956662883136	0.3149411993014451	0
agri_aa_oil__Oil_C182_C183	Zm00001d017365	gene_body	1	2.802866020300615e-11	4.7877742850700836e-08	10.552397661438714	0.312395136246323	0
agri_aa_oil__Oil_C182_C183	Zm00001d005023	cis_window	1	3.202807828410876e-11	5.37899463323432e-08	10.494469118646355	0.3115196879318231	244
agri_aa_oil__Oil_C182_C183	Zm00001d053548	gene_body	1	3.726594595492851e-11	6.202770468783365e-08	10.428687850207476	0.3105220562542918	0
agri_aa_oil__Oil_C182_C183	Zm00001d038300	gene_body	1	3.755380007219134e-11	6.202770468783365e-08	10.425346110141009	0.3104712755991921	0
agri_aa_oil__Oil_C182_C183	Zm00001d031860	gene_body	1	4.196069373807455e-11	6.81796455911921e-08	10.37715734020853	0.3097379222988523	0
agri_aa_oil__Oil_C182_C183	Zm00001d013818	gene_body	1	4.590796503463721e-11	7.399179241905206e-08	10.33811195780717	0.3091422245020194	0
agri_aa_oil__Oil_C182_C183	Zm00001d026301	gene_body	1	5.1016562146563093e-11	8.028319719971273e-08	10.292288810545552	0.3084414075018338	0
agri_aa_oil__Oil_C182_C183	Zm00001d049140	gene_body	1	5.3986114914431725e-11	8.429257017452084e-08	10.267717925203964	0.3080648553383797	0
agri_aa_oil__Oil_C182_C183	Zm00001d045203	promoter	1	6.072105289998336e-11	9.407338564634945e-08	10.216660706402957	0.3072806760306244	0
agri_aa_oil__Oil_C182_C183	Zm00001d052296	promoter	1	6.31864459443212e-11	9.713992569729429e-08	10.19937607176337	0.3070146755467934	0
agri_aa_oil__Oil_C182_C183	Zm00001d023715	gene_body	1	6.580480014672037e-11	1.0039300868796142e-07	10.18174242551678	0.306743027275641	0
agri_aa_oil__Oil_C182_C183	Zm00001d030123	cis_window	1	7.135187299211523e-11	1.0803106006600139e-07	10.146594622136384	0.3062007349965125	3801
agri_aa_oil__Oil_C182_C183	Zm00001d008785	gene_body	1	7.365946537408314e-11	1.1068636174287793e-07	10.132771437611543	0.3059871521274083	0
agri_aa_oil__Oil_C182_C183	Zm00001d021147	gene_body	1	7.739449665911058e-11	1.1543100391271049e-07	10.111289919879829	0.305654895663252	0
agri_aa_oil__Oil_C182_C183	Zm00001d016788	promoter	1	8.000940840138604e-11	1.1757617886373097e-07	10.096858940801102	0.3054314546920889	0
agri_aa_oil__Oil_C182_C183	Zm00001d026271	gene_body	1	8.155323084108306e-11	1.1853975935859e-07	10.088558829122046	0.3053028545189188	0
agri_aa_oil__Oil_C182_C183	Zm00001d039272	gene_body	1	1.006682699838931e-10	1.423271394694151e-07	9.99710739481272	0.3038817429398207	0
agri_aa_oil__Oil_C182_C183	Zm00001d050482	nearest	1	1.1165501830702447e-10	1.5506344717447605e-07	9.952121752896424	0.3031798536555563	38863
agri_aa_oil__Oil_C182_C183	Zm00001d052225	gene_body	1	1.1250947094811924e-10	1.5507374362625738e-07	9.94881091748702	0.3031281219511928	0
agri_aa_oil__Oil_C182_C183	Zm00001d011558	gene_body	1	1.2001309158911988e-10	1.6428312625092565e-07	9.920771376495736	0.3026895947714128	0
agri_aa_oil__Oil_C182_C183	Zm00001d002896	gene_body	1	1.2630311261617388e-10	1.7143381693687084e-07	9.898585946551782	0.3023421022230538	0
agri_aa_oil__Oil_C182_C183	Zm00001d047455	gene_body	1	1.2756236407072567e-10	1.7143381693687084e-07	9.894277440719788	0.3022745641273442	0
agri_aa_oil__Oil_C182_C183	Zm00001d032944	gene_body	1	1.278102169741902e-10	1.7143381693687084e-07	9.89343442788218	0.3022613474175514	0
agri_aa_oil__Oil_C182_C183	Zm00001d010009	gene_body	1	1.2956861446211718e-10	1.7263376674627264e-07	9.887500185322322	0.302168291780037	0
